STA-C0757N-C-001,CLODFELTER FOR STATE SENATE,Closed,,
STA-BT93Z7-C-001,FRIENDS OF RITA COX,Inactive,,
STA-1FVQ58-C-001,JUDGE SUSAN DOTSON-SMITH COMM,Closed,,
STA-7TH884-C-001,COMM TO ELECT JOE FOX,Terminated,,
STA-NYXK88-C-001,COMM TO ELECT VALENE FRANCO,Inactive,,
STA-7LZ4R1-C-001,DR JIM FULGHUM FOR NC SENATE,Closed,,
STA-00M620-C-001,ELECTBRANDONBLACK.COM (BRANDON BLACK),Conditionally Closed,,
STA-C2566N-C-001,COMM TO RE-ELECT JUDGE BLACKMORE,Closed (Pending),,
STA-36F872-C-001,COMM TO ELECT FRANKIE BORDEAUX,Conditionally Closed,,
STA-C1524N-C-001,BORDSEN FOR NC HOUSE,Closed,,
STA-QG32WD-C-003,BOSEMAN FOR SENATE,Closed,,
STA-96UO2N-C-001,COMM TO KEEP JAY BRYAN JUDGE,Closed,,
STA-C2735N-C-003,COMM TO RE-ELECT JUDGE SUSAN R BURCH,Closed,,
STA-5RSKX1-C-001,JENIFER BUBENIK FOR NC HOUSE,Closed,,
STA-28CZ8T-C-001,COMM TO ELECT JUSTIN CONRAD,Inactive,,
STA-C2295N-C-001,JUDGE CONSTANGY CAMPAIGN COMM,Closed,,
STA-341A37-C-001,COMM TO ELECT RICHARD COX,Conditionally Closed,,
STA-WMN36V-C-001,DUANE CUTLIP COMM,Closed,,
STA-C0751N-C-001,DALTON FOR GOVERNOR,Closed (Pending),,
STA-C1639N-C-001,COMM TO ELECT BILL DAUGHTRIDGE,Closed,,
STA-E1ZM6Z-C-001,CITIZENS FOR JUDGE GARY DELLINGER,Closed,,
STA-NV485H-C-001,COMM TO KEEP JUDGE LAURA DEVAN,Closed,,
STA-7TDF15-C-001,COMM TO ELECT MARGARET DUDLEY,Active (Non-Exempt),,
STA-C0189N-C-001,TIM DUNN FOR JUDGE COMM,Inactive,,
STA-C1993N-C-001,CITIZENS FOR RICK EDDINS,Active (Non-Exempt),,
