STA-C4354N-C-001,FAYETTEVILLE RW,Active (Non-Exempt),,
STA-0961XJ-C-001,ELECT T LEE HORNE III,Closed (Pending),,
STA-C4250N-C-001,MONTGOMERY REC,Active (Non-Exempt),,
STA-UI2F9F-C-001,HUMAN RIGHTS CAMPAIGN NC PAC,Closed (Pending),,
STA-VMW97D-C-001,COMMITTEE TO ELECT CHARLIE DEATON,Closed (Pending),,
STA-FFMNOF-C-002,CITIZENS FOR ART,Closed (Pending),,
STA-C0475N-C-002,COMMITTEE TO ELECT RICHARD JAMES FOR NC SENATE,Terminated,,
STA-VHIY26-C-001,COMM TO ELECT MARTIN (TONY) DENNING TO NC HOUSE SEAT 22,Terminated,,
STA-1LQ2SS-C-001,ROBERT KELLOGG FOR NC HOUSE,Closed (Pending),,
STA-0TMA8W-C-001,AFRICAN AMERICAN CAUCUS OF THE HARNETT CTY DEM PARTY,Active (Non-Exempt),,
STA-EXAKJ7-C-001,PATE FOR SUPERIOR COURT JUDGE,Inactive,,
STA-C3330N-C-001,HOSIERY PAC OF NC,Inactive,,
STA-C4508N-C-001,LIBERTARIAN PARTY OF MECKLENBURG COUNTY ,Active (Non-Exempt),,
STA-68D5BB-C-001,COMM TO ELECT BEN THALHEIMER ,Closed (Pending),,
STA-C3453N-C-001,FRIENDS OF DURHAM PAC STATE,Active (Non-Exempt),,
STA-1A8X5O-C-002,COMM TO ELECT WILLIAM C TUCKER,Closed (Pending),,
STA-B56B9L-C-001,DAVID C BRINKLEY FOR NC HOUSE,Closed (Pending),,
STA-M9RTMV-C-001,COMM TO ELECT LISA MATHIS,Active (Non-Exempt),,
STA-BND85H-C-001,DOLLAR FOR HOUSE,Active (Non-Exempt),,
STA-96IPJR-C-001,COMM TO ELECT JUDGE BREWER,Closed,,
STA-1F3I1R-C-001,BILL BRAWLEY COMM,Active (Non-Exempt),,
STA-C1006N-C-001,BROCK FOR SENATE,Active (Non-Exempt),,
STA-P01H5A-C-002,CAMPAIGN TO ELECT MIKE HAGER,Closed,,
STA-C1355N-C-003,JACKSON FOR NC ,Active (Non-Exempt),,
STA-C1278N-C-002,CITIZENS FOR DAN BLUE,Active (Non-Exempt),,
STA-C1652N-C-001,FRIENDS OF TIM MOORE,Active (Non-Exempt),,
STA-68QWJT-C-001,JASON SAINE COMM,Active (Non-Exempt),,
STA-C1720N-C-001,LOUIS PATE ELECTION COMM,Closed (Pending),,
STA-M0W1XU-C-001,MCKISSICK FOR NC SENATE,Active (Non-Exempt),,
STA-C0854N-C-001,PHILIP E BERGER COMM,Active (Non-Exempt),,
STA-C1189N-C-001,TUCKER FOR NC HOUSE,Closed,,
STA-1534AX-C-001,TOMMY TUCKER FOR NC SENATE COMM,Closed (Pending),,
STA-C2074N-C-001,COMM TO ELECT LINDA P JOHNSON,Active (Non-Exempt),,
STA-3216O0-C-001,COMM TO ELECT BROOKE LOCKLEAR CLARK,Inactive,,
STA-C3869N-C-001,CHOWAN DEC,Active (Exempt),,
STA-JZI1P9-C-001,AMY EVANS NC,Terminated,,
STA-7C9568-C-001,LAISSEZ-FAIRE BY GEOVANI SHEROW,Closed (Pending),,
STA-PC2VDP-C-001,HENDERSON VANCE BLACK LEADERSHIP CAUCUS,Active (Non-Exempt),,
STA-48A31Q-C-001,JUDGE LOU OLIVERA,Active (Non-Exempt),,
STA-HR76A0-C-001,GREENSBORO ORTHOPAEDICS PAC,Closed (Pending),,
STA-GO8G11-C-001,ANN HARLAN,Closed (Pending),,
STA-5PD204-C-001,AARON MARTIN FOR NC STATE HOUSE,Active (Non-Exempt),,
STA-H391YP-C-001,CARDINAL DIRECTION PAC,Closed (Pending),,
STA-Y8R8TA-C-001,COMMITTEE TO ELECT DEAN KELSEY,Closed,,
STA-1459S9-C-001,COMM TO ELECT VALERIE JOHNSON ZACHARY TO NC COURT OF APPEALS,Active (Non-Exempt),,
STA-C3349N-C-001,NC PROPANE GAS ASSN PAC,Active (Non-Exempt),,
STA-2J6ZC8-C-001,VANESSA BURTON FOR DIST CT JUDGE,Active (Non-Exempt),,
FED-C4721N-C-001,AHOLD DELHAIZE PAC ,Active (Non-Exempt),,
FED-R36GD4-C-001,VULCAN MATERIALS COMP PAC,Active (Non-Exempt),,
STA-C2593N-C-005,CARRAWAY FOR SENATE,Closed (Pending),,
FED-3ALSF5-C-001,MESSER CONSTRUCTION CO PAC,Active (Non-Exempt),,
STA-C3862N-C-001,CALDWELL DEC,Active (Non-Exempt),,
STA-2BZCSP-C-001,COMM TO ELECT KEN GOODMAN,Closed (Pending),,
STA-ZQ25XB-C-001,NC COALITION OF HOME EDUCATORS,Inactive,,
FED-97481C-C-001,MOVEON.ORG PAC,Closed,,
STA-7JV076-C-001,CITIZENS TO ELECT JERRY CARTER,Active (Non-Exempt),,
STA-N557Z3-C-001,CONNOR GROCE EXPLORATORY COMMITTEE,Closed (Pending),,
STA-OVRQT6-C-001,BENTON BLAINE FOR NC HOUSE,Closed (Pending),,
FED-9BRNDJ-C-001,AARON'S PAC,Active (Non-Exempt),,
STA-C4068N-C-001,CUMBERLAND YD,Active (Exempt),,
STA-0F5GJ3-C-001,CALDWELL COUNTY DEMOCRATIC PARTY BUILDING FUND,Closed (Pending),,
STA-530I8D-C-001,CITIZENS FOR NC PAC,Active (Non-Exempt),,
STA-C2556N-C-003,COMMITTEE TO ELECT HENRY L. STEVENS IV,Active (Non-Exempt),,
STA-J70AQ6-C-001,DOWN HOME NC IE PAC,Active (Non-Exempt),,
STA-C183G6-C-001,PRECINCT 74 DEMOCRATS,Active (Exempt),,
STA-2301JS-C-001,CONSERVATION VOTES PAC,Active (Non-Exempt),,
STA-X252GQ-C-001,IREDELL YADKIN CONSERVATIVE ALLIANCE,Active (Non-Exempt),,
STA-HLB844-C-001,NC MEANS JOBS PAC,Closed (Pending),,
STA-IP51QU-C-001,NC VALUES COALITION PAC,Active (Non-Exempt),,
STA-5UAH7V-C-001,TRIANGLE GOVERNMENT ALLIANCE,Active (Non-Exempt),,
STA-9298IS-C-001,REPUBLICAN SENATE LEADERSHIP COMM,Active (Non-Exempt),,
FED-615965-C-001,AMERICAN SOCIETY OF ANESTHESIOLOGISTS ASA PAC,Closed (Pending),,
FED-3B744Q-C-001,APEX CLEAN ENERGY,Closed (Pending),,
STA-TG3IZ8-C-001,CAROLINA MOUNTAIN EMERGENCY MEDICINE PAC,Active (Non-Exempt),,
FED-WB1O0N-C-001,CLEARWATER PAPER CORP PAC,Closed (Pending),,
FED-42588B-C-001,COZEN O'CONNOR PAC,Active (Non-Exempt),,
FED-W15K3J-C-001,CYPRESS SOLAR PAC,Terminated,,
FED-29AS6D-C-001,DNC - SERVICES CORP / DEM NAT'L COMMITTEE,Active (Non-Exempt),,
STA-H916MS-C-001,FRANKLIN CTY PAC,Active (Non-Exempt),,
STA-C3303N-C-001,NC ASSN OF DEFENSE ATTORNEYS  NC DEFENSE FUND,Active (Non-Exempt),,
FED-C4582N-C-001,NC BANKERS ASSN PAC,Active (Non-Exempt),,
STA-VS7AJN-C-001,NC CHAPTER OF AMERICAN COLLEGE OF SURGEONS PAC,Active (Non-Exempt),,
STA-WRV6TE-C-001,PEOPLE FOR ACTION ON CLIMATE CHANGE,Inactive,,
FED-FM31NP-C-001,TAR HEEL PAC,Closed (Pending),,
STA-S3DZ05-C-001,UNION COUNTY CONCERNED CITIZENS,Inactive,,
FED-747Z78-C-001,WESTERN NC ADVOCATES FOR QUALITY CARE,Closed (Pending),,
STA-F48X2D-C-001,WOMEN AWAKE PAC,Active (Non-Exempt),,
STA-YNBE51-C-001,YADKIN VALLEY ACTION,Closed (Pending),,
STA-C4300N-C-001,CATAWBA RM FORUM,Active (Non-Exempt),,
STA-M67VU1-C-001,HAYWOOD REPUBLICAN ALLIANCE,Inactive,,
STA-C4251N-C-001,MOORE REC,Active (Non-Exempt),,
STA-5D3H64-C-001,REPUBLICAN MENS CLUB OF FORSYTH COUNTY,Terminated,,
FED-FW39Z1-C-001,WARRIOR CONSERVATIVES PAC,Inactive,,
STA-30Z9D0-C-001,MOVING RALEIGH FORWARD,Inactive,,
STA-4MVH5B-C-001,SFER-ACTION NETWORK,Inactive,,
STA-C1704N-C-002,SHEARIN FOR SENATE COMMITTEE,Terminated,,
STA-2D5N67-C-001,COMMITTEE TO ELECT MARION BOONE JUDGE,Inactive,,
STA-94RTKS-C-001,NP PAC,Active (Non-Exempt),,
STA-C3931N-C-001,SURRY DEC,Active (Non-Exempt),,
STA-JZAR48-C-001,PHILLIP SMITH FOR NC HOUSE 5,Terminated,,
STA-C0195N-C-001,RANDY CROW FOR NC SENATE DIST 8,Closed (Pending),,
STA-F9IE10-C-001,LUMBERTON EMERGENCY MEDICAL ASSOCIATES,Active (Non-Exempt),,
STA-379K61-C-003,FRIENDS OF KEITH GREGORY,Closed (Pending),,
STA-8EO4LX-C-001,COMM TO ELECT JEFF TARTE,Inactive,,
STA-8985TL-C-001,RAND FOR JUDGE,Closed,,
STA-P57Y9R-C-001,ORANGE COUNTY DEMOCRATIC PARTY BUILDING FUND,Inactive,,
STA-9B6DAL-C-001,RONALD RABIN FOR NC SENATE,Closed (Pending),,
FED-B54418-C-001,TED BUDD FOR CONGRESS,Active (Non-Exempt),,
STA-2YY6R4-C-002,THE CAMPAIGN TO RE ELECT JULIE M. KEPPLE,Inactive,,
FED-FZC7KH-C-001,KYLE HORTON FOR CONGRESS,Closed (Pending),,
STA-Z023G1-C-001,THOMAS H CLIFTON FOR JUDGE,Active (Non-Exempt),,
FED-P7127V-C-001,WSP USA INC PAC,Active (Non-Exempt),,
STA-9Q26PY-C-002,RE-ELECT JUDGE YANCEY-THOMPSON,Closed,,
STA-1WX785-C-002,THE COMM TO ELECT DARRYL MOSS,Active (Non-Exempt),,
STA-C2920N-C-001,COMM TO RE-ELECT WAYNE MICHAEL,Inactive,,
STA-6Q95Z9-F-001,CITIZENS FOR BUCK NEWTON LEGAL DEFENSE FUND,Active (Non-Exempt),,
STA-C0450N-F-001,ELAINE MARSHALL DEFENSE FUND,Closed (Pending),,
STA-C0921N-F-001,HARTSELL LEGAL EXPENSE FUND,Active (Non-Exempt),,
STA-AIYGP3-F-001,THE PAT McCRORY COMMITTEE LEGAL DEFENSE FUND,Inactive,,
STA-K38IJ3-C-001,PROVIDENCE ANESTHESIOLOGY ASSOCIATES,Closed (Pending),,
STA-94KSBB-C-002,RE-ELECT CARLTON TERRY,Inactive,,
STA-2S5FBA-C-002,LIBERTY AND JUSTICE FOR ALL COMM (RICHARD RIVETTE),Closed,,
STA-ZOE61I-C-001,CONSERVATIVES FOR GUILFORD CTY,Inactive,,
STA-4XJZH0-C-001,KEVIN HAYES FOR NC HOUSE,Closed,,
STA-F0A3LT-C-001,COMM TO ELECT ANGELICA CHAVIS MCINTYRE,Closed (Pending),,
STA-C2544N-C-002,COMM TO RE-ELECT JUDGE ALEXANDER,Closed (Pending),,
STA-61T98T-C-001,COMMITTEE TO ELECT SARAH NEELY LANIER FOR JUDGE,Inactive,,
STA-T7TXXJ-C-001,DALE DEESE FOR JUDGE,Closed (Pending),,
STA-P8365X-C-001,KYLE JONES FOR JUDGE,Closed,,
STA-CV7Y2B-C-001,COMM TO ELECT SHARON SPRINKLE DIST CT JUDGE,Closed (Pending),,
STA-C2569N-C-001,COMM TO ELECT W ROB LEWIS  II JUDGE,Closed (Pending),,
STA-V03DN8-C-001,COMM TO ELECT NATHAN SWEET FOR JUDGE,Inactive,,
STA-C1146N-C-002,COMM TO ELECT PETER MACK JR,Inactive,,
STA-3QS7I5-C-001,MARK WILLIAMS FOR DISTRICT COURT JUDGE,Inactive,,
STA-6G7X47-C-001,COMM TO ELECT TONIA A CUTCHIN FOR DIST CT JUDGE,Active (Non-Exempt),,
STA-4EOWJ0-C-001,SAM HAMADANI FOR JUDGE,Active (Non-Exempt),,
STA-I30O43-C-001,HAVELKA FOR DISTRICT COURT JUDGE,Closed (Pending),,
STA-4997I3-C-001,ELECT MARIO WHITE FOR JUDGE,Inactive,,
STA-X6JHGI-C-001,LOVE FOR NC,Active (Non-Exempt),,
STA-7S4A74-C-001,ANGELA CARTER FOR JUDGE,Inactive,,
STA-I2K60N-C-001,EARLS FOR JUSTICE,Inactive,,
STA-O32XQ7-C-003,RE-ELECT JUSTICE JACKSON COMM,Active (Non-Exempt),,
STA-Q91199-C-001,COMMITTEE TO ELECT JOHN MARSHALL DUNLOW,Inactive,,
STA-1620N0-C-001,COMM TO ELECT CLAIRE HILL,Active (Non-Exempt),,
STA-C2359N-C-001,JAMES AMMONS CAMPAIGN COMM,Active (Non-Exempt),,
STA-C2500N-C-001,COMM TO ELECT CHRIS BRAGG SUPERIOR CT,Closed (Pending),,
STA-C3093N-C-002,CITIZENS FOR JUDGE JIM HARDIN,Closed (Pending),,
STA-72WJY8-C-001,WAYLAND SERMONS FOR SUPERIOR CT JUDGE,Closed (Pending),,
STA-TQ1G10-C-002,COMM TO ELECT JUDGE THORNBURG,Inactive,,
STA-MAV9T6-C-001,KEEP MORGAN JUDGE,Inactive,,
STA-8GF970-C-001,KEEP JUDGE GOTTLIEB,Active (Non-Exempt),,
STA-99699N-C-001,ELECT MARK MELROSE,Closed (Pending),,
STA-64W715-C-002,JOHN NOBLES CAMPAIGN,Inactive,,
STA-312X95-C-001,COMM TO ELECT DAVID A PHILLIPS SUPERIOR COURT JUDGE,Closed (Pending),,
STA-C3001N-C-001,RE-ELECT JUDGE BRAD ALLEN DIST CT,Inactive,,
STA-C2865N-C-004,KRIS BAILEY FOR JUDGE,Closed (Pending),,
STA-88IA37-C-001,COMMITTEE TO ELECT SABRINA BLAIN,Active (Non-Exempt),,
STA-576YJ4-C-001,COMM TO ELECT WAYNE BOYETTE DISTRICT JUDGE,Inactive,,
STA-C3156N-C-002,COMM TO ELECT BRENT CLONINGER,Closed (Pending),,
STA-C2987N-C-001,JUDGE PELL COOPER COMM,Inactive,,
STA-C2629N-C-001,CRAIG CROOM COMMITTEE,Inactive,,
STA-C3011N-C-001,COMM TO RE-ELECT JUDGE BETH DIXON,Inactive,,
STA-43Y6R7-C-002,COMM TO RE-ELECT KEVIN EDDINGER DIST CT JUDGE,Inactive,,
STA-G1YW9X-C-001,COMM TO RE-ELECT JUDGE SHERRI ELLIOTT,Active (Non-Exempt),,
STA-29Y45P-C-002,DANIEL HINES ENTZMINGER FOR JUDGE,Active (Non-Exempt),,
STA-62Y1AA-C-001,COMM TO RE-ELECT SCOTT C ETHERIDGE,Closed (Pending),,
STA-1NO8DV-C-001,COMMITTEE TO ELECT CAITLIN EVANS,Active (Non-Exempt),,
STA-6LT092-C-002,FAIRLEY DIST CT JUDGE,Inactive,,
STA-C2986N-C-001,COMM TO ELECT JAMES H FAISON III DIST CT JUDGE,Inactive,,
STA-ALY739-C-002,DONNA FORGA CAMPAIGN COMM,Inactive,,
STA-PXE914-C-001,COMM TO ELECT CHRIS FREEMAN,Active (Non-Exempt),,
STA-C3016N-C-002,COMM TO RE-ELECT JUDGE DENISE S HARTSFIELD,Inactive,,
STA-308I9G-C-001,BETH HEATH FOR JUDGE (ELIZABETH A HEATH) ,Inactive,,
STA-15K8LE-C-003,HEWETT FOR JUDGE,Inactive,,
STA-UPV0DB-C-001,COMM TO ELECT CAROLE A HICKS,Inactive,,
STA-C2670N-C-001,COMM TO ELECT JIM HILL,Closed (Pending),,
STA-6TCR8C-C-001,COMM TO ELECT REGINA JOE DIST CT JUDGE,Active (Non-Exempt),,
STA-C3004N-C-001,COMM TO KEEP JUDGE KEY,Terminated,,
STA-C2419N-C-002,CITIZENS TO KEEP JUDGE MARK KILLIAN,Inactive,,
STA-T33F7F-C-001,COMM TO KEEP JUDGE MANGUM,Active (Non-Exempt),,
STA-1MIH8P-C-001,COMMITTEE TO ELECT WARREN MCSWEENEY,Active (Non-Exempt),,
STA-VW9322-C-001,COMMITTEE TO KEEP JUDGE MEYER,Inactive,,
STA-C3038N-C-001,JUDGE REGAN A MILLER ELECTION COMM,Inactive,,
STA-C2919N-C-001,MYERS FOR JUDGE COMM,Active (Non-Exempt),,
STA-521CXM-C-002,COMM TO RE-ELECT JUDGE MATT OSMAN,Active (Non-Exempt),,
STA-820E40-C-001,PITTMAN FOR PITT COUNTY,Closed (Pending),,
STA-B8O044-C-001,CITIZENS FOR CHRIS RHUE,Active (Non-Exempt),,
STA-5B8382-C-001,COMM TO ELECT APRIL M SMITH,Active (Non-Exempt),,
STA-VVEVC2-C-001,CARON STEWART FOR DISTRICT COURT JUDGE,Closed (Pending),,
STA-83WR4A-C-003,THE COMM TO ELECT STEVE STOKES FOR DISTRICT COURT JUDGE,Active (Non-Exempt),,
STA-1A8X5O-C-001,COMM TO RE-ELECT JUDGE WILLIAM C TUCKER,Closed (Pending),,
STA-TPDOI2-C-001,COMM TO RE-ELECT ROY WIJEWICKRAMA DIST CT JUDGE,Inactive,,
STA-NWA8VU-C-001,COMMITTEE TO ELECT ROB YOUNG,Active (Non-Exempt),,
STA-WT2PMV-C-001,STANLY COUNTY CITIZENS FOR CONSERVATIVE LEADERSHIP,Terminated,,
STA-9PD442-C-001,AMANDA FOR NC HOUSE,Closed (Pending),,
STA-C3083N-C-002,THE COMMITTEE TO ELECT RON BRADSHER DA,Closed (Pending),,
STA-C1649N-C-001,DAVID LEWIS FOR NC HOUSE,Active (Non-Exempt),,
STA-WIPAL1-C-001,CAROLINAS READY MIXED CONCRETE ASSN NC PAC,Active (Non-Exempt),,
STA-7K7JV6-C-001,LONGORIA FOR NC HOUSE,Closed (Pending),,
STA-646007-C-001,KEEP THOMPSON SUPERIOR COURT JUDGE,Closed (Pending),,
STA-53ZSLW-C-001,TED KAZAKOS FOR JUDGE,Active (Non-Exempt),,
STA-1LJENB-C-002,JUDGE WARD D. SCOTT COMMITTEE,Closed (Pending),,
STA-1LJENB-C-001,JUDGE WARD D SCOTT COMM,Closed,,
STA-4XJZH0-C-002,KEVIN HAYES FOR NC HOUSE,Inactive,,
STA-4ITO7H-C-001,COMM TO RE-ELECT JUDGE JARRELL,Inactive,,
STA-B19M7B-C-001,FRANK JONES FOR JUDGE,Inactive,,
STA-C2686N-C-002,JOSEPH MOODY BUCKNER,Inactive,,
STA-2IT907-C-001,COMMITTEE TO ELECT KAREN D. MCCALLUM FOR DISTRICT COURT JUDGE,Inactive,,
STA-FXF15W-C-001,COMMITTEE TO ELECT NICOLETTE FULTON,Inactive,,
STA-C2062N-C-001,CUMMINGS FOR NC HOUSE,Closed,,
STA-I30O43-C-002,COMMITTEE TO ELECT PAULINA HAVELKA FOR DISTRICT COURT JUDGE,Active (Non-Exempt),,
STA-5O2528-C-001,DARREN FOR NC,Inactive,,
STA-3TUNG7-C-001,THE BRIAN RATLEDGE COMMITTEE,Active (Non-Exempt),,
STA-LN29F8-C-001,NCGOP ATTORNEYS PAC,Active (Non-Exempt),,
STA-J4W9W6-C-001,COMMITTEE TO ELECT WALT RABON,Terminated,,
STA-C2853N-C-003,LLOYD MICHAEL GENTRY,Closed (Pending),,
STA-6N1GB0-C-001,JUSTIN MILLER FOR DISTRICT 66,Closed (Pending),,
STA-09XUR6-C-001,MACON DM CLUB,Active (Non-Exempt),,
STA-C1491N-C-002,ROTHROCK FOR STATE HOUSE 50,Active (Non-Exempt),,
STA-C2990N-C-003,SUPPORTERS OF JUDGE ADDIE RAWLS,Inactive,,
STA-32EE20-C-001,CITIZENS TO ELECT JUDGE ROBERT A MULLINAX JR,Closed (Pending),,
STA-NA9702-C-001,CITIZENS TO ELECT WILLIAM (BILL) BROOKS FOR DISTRICT COURT JUDGE,Inactive,,
STA-C3877N-C-001,DAVIE DEC,Active (Non-Exempt),,
STA-C3337N-C-001,VERIZON GOOD GOVT CLUB OF NC,Active (Non-Exempt),,
FED-LV2L53-C-001,UAW V-CAP,Active (Non-Exempt),,
STA-Y459C0-C-001,KEEP PAT NADOLSKI DA,Closed,,
FED-NDQ7R7-C-001,TIEGEL FOR CONGRESS,Closed (Pending),,
STA-C4194N-C-001,ASHE REC,Active (Non-Exempt),,
STA-B5SLUQ-C-001,LABOR CAUCUS OF THE NC DEM PARTY,Inactive,,
STA-4P6QA8-C-001,CHAUDHURI FOR NEW NC,Active (Non-Exempt),,
STA-VHTLX9-C-003,LORA CUBBAGE 4 SUPERIOR COURT JUDGE,Closed (Pending),,
STA-H88RAL-C-001,COMMON GROUNDS GREENVILLE PAC,Closed (Pending),,
STA-4W962W-C-002,COMM TO ELECT BRIAN C WILKS,Inactive,,
STA-C2769N-C-001,COMM TO ELECT JUDGE MENEFEE,Inactive,,
STA-383234-C-001,WALLACE FOR JUDGE,Inactive,,
STA-4YD62X-C-001,COMM TO RE-ELECT JUDGE PAIGE B MCTHENIA ,Inactive,,
STA-P33SA5-C-001,NC GROWTH AND PROSPERITY COMMITTEE INC ,Active (Non-Exempt),,
STA-W5J607-C-001,BEDSWORTH FOR JUDGE COMM,Closed (Pending),,
STA-Q76DER-C-001,ANGLIN COMMITTEE,Terminated,,
STA-C3996N-C-001,GUILFORD DW,Active (Non-Exempt),,
STA-K39PZW-C-001,ELECT LEE TEAGUE FOR DISTRICT COURT JUDGE,Closed (Pending),,
STA-DU29Y1-C-001,BROOKS FOR NC SENATE,Inactive,,
STA-L971L7-C-001,WILLIAMS FOR DA,Active (Non-Exempt),,
STA-T6XMN3-C-001,THE COMM TO ELECT DAWN BAXTON,Closed (Pending),,
STA-5313IJ-C-001,ERICA STANDFIELD BRANDON FOR DISTRICT COURT JUDGE,Active (Non-Exempt),,
STA-96QPZ1-C-001,COMM TO ELECT HOWARD CLARK,Closed (Pending),,
STA-27U7T6-C-001,STUART COLLINS FOR NC SENATE,Closed (Pending),,
STA-C2497N-C-003,COMM TO RE-ELECT JUDGE CRAIG,Inactive,,
STA-46HZ9W-C-001,MARK A CROWE FOR NC HOUSE,Terminated,,
STA-R4LP80-C-001,COMMITTEE TO ELECT DARYL G DAVIDSON SR,Closed (Pending),,
STA-C3095N-C-003,COMM TO RE-ELECT PAT EVANS JUDGE,Closed (Pending),,
STA-TB0KB2-C-002,COMMITTEE TO RE-ELECT JUDGE GAVENUS,Closed (Pending),,
STA-UNWD75-C-001,MECKLENBURG COUNTY DEMOCRATIC PARTY BUILDING FUND,Active (Non-Exempt),,
STA-5TTCB5-C-002,COMM TO ELECT ALI PAKSOY JR,Closed (Pending),,
STA-9GVRCI-C-001,LEO PHILLIPS FOR JUDGE COMMITTEE,Active (Non-Exempt),,
STA-0NK6IR-C-003,MARVIN PINKNEY POPE JR,Closed (Pending),,
STA-SIIG6O-C-002,COMM TO ELECT LAURA POWELL DISTRICT COURT JUDGE,Closed (Pending),,
STA-741P3G-C-001,COMMITTEE TO ELECT MICHAEL PUTNEY,Inactive,,
STA-111308-C-001,EVAN SCHREIER FOR JUDGE,Terminated,,
STA-KXUJN6-C-001,MOUNTAIN VALUES COALITION,Inactive,,
STA-C2298N-C-004,JUDGE TILLETT CAMPAIGN,Inactive,,
STA-2Y3014-C-001,RON WESSON FOR NC HOUSE,Closed (Pending),,
STA-410GM6-C-001,MARSY'S LAW FOR NORTH CAROLINA LLC,Active (Non-Exempt),,
STA-HFL8E1-C-001,ATRIUM HEALTH EMPLOYEES NC PAC,Active (Non-Exempt),,
STA-EV5X25-C-001,COMMITTEE TO ELECT REBECCA EDWARDS,Active (Non-Exempt),,
STA-ZAZE5H-C-001,CINDY STURGES FOR JUDGE COMMITTEE,Active (Non-Exempt),,
STA-J4KT24-C-001,ANESTHESIOLOGISTS OF THE TRIAD PAC,Active (Non-Exempt),,
STA-Y459CO-C-002,COMM TO ELECT PAT NADOLSKI SUPERIOR COURT JUDGE,Closed (Pending),,
STA-91HS73-C-001,COMMITTEE TO ELECT BEVERLY ROUTH SPENCER,Closed (Pending),,
FED-L6UL8J-C-001,ROBERT FRANKLIN CORRIHER,Terminated,,
STA-B1212I-C-001,COMM TO ELECT DONNIE HOOVER,Inactive,,
STA-C1314N-C-004,CITIZENS FOR JUDGE LAMBETH,Inactive,,
STA-522T0M-C-001,COMM TO ELECT MICHAEL DENNING,Closed (Pending),,
STA-3C9F0I-C-001,COMMITTEE TO ELECT MICHAEL STONE SUPERIOR COURT JUDGE,Active (Non-Exempt),,
STA-8L52RR-C-001,THAI VANG FOR JUDGE,Active (Non-Exempt),,
STA-C3039N-C-003,COMMITTEE TO ELECT CRAIG COLLINS,Active (Non-Exempt),,
STA-0ULBM9-C-001,WALTER H GODWIN JR FOR JUDGE,Inactive,,
STA-M446K4-C-001,COMM TO ELECT ROB MARTELLE FOR JUDGE,Closed (Pending),,
STA-04L3E2-C-001,SIDNEY PIERCE FOR NC HOUSE,Closed,,
STA-7S2X58-C-002,BARBARA LEE FOR NC HOUSE OF REPRESENTATIVES,Closed (Pending),,
STA-3OY29J-C-001,HALL FOR HOUSE DIST 29,Active (Non-Exempt),,
STA-C2896N-C-002,STEVE GROSSMAN FOR JUDGE COMM,Inactive,,
STA-C2903N-C-001,COMM TO ELECT LEE GAVIN,Inactive,,
STA-4VH46Y-C-001,THE COMMITTEE TO ELECT MICAH SANDERSON,Active (Non-Exempt),,
STA-M3S97W-C-002,COMMITTEE TO ELECT GEORGE BELL FOR JUDGE,Inactive,,
STA-976X02-C-001,ELECT SHELBY S CHASE,Closed (Pending),,
STA-N7L6MI-C-001,CITIZENS TO ELECT JIM DEMAY JUDGE,Inactive,,
STA-JIYYZ0-C-001,BAGGETT FOR JUDGE COMM,Closed (Pending),,
STA-C3050N-C-003,COMM TO RE-ELECT RANDY POOL,Closed (Pending),,
STA-8UTXUE-C-001,JOY JONES FOR JUDGE,Inactive,,
STA-1WX5K2-C-002,CITIZENS FOR GREGORY THOMPSON,Closed (Pending),,
STA-C0527N-C-001,BERGER COMM,Closed,,
FED-76FF1C-C-001,DAIMLER NORTH AMERICA CORPORATION US EMPLOYEES PAC,Closed (Pending),,
STA-C2930N-C-003,THE COMMITTEE TO RE-ELECT JUDGE BYRD,Terminated,,
FED-C0483N-C-001,BOB ETHERIDGE FOR CONGRESS COMM,Closed (Pending),,
STA-L67ZW8-C-001,CONCERNED CITIZENS OF WAKE COUNTY,Closed (Pending),,
FED-43QX6P-C-001,FRIENDS OF JIM CLYBURN,Closed,,
FED-13ZF27-C-001,GEORGE HOLDING FOR CONGRESS,Active (Non-Exempt),,
FED-C0273N-C-002,RICHARD BURR COMM,Active (Non-Exempt),,
FED-5L363L-C-001,THOM TILLIS COMMITTEE,Active (Non-Exempt),,
FED-780F5E-C-001,VIRGINIA FOXX FOR CONGRESS,Active (Non-Exempt),,
FED-C0259N-C-001,WALTER JONES COMM,Closed (Pending),,
STA-IKY696-C-001,TRIPP WATSON FOR JUDGE,Closed (Pending),,
STA-D5S4Z8-C-001,CITIZENS FOR A HEALTHY NORTH CAROLINA,Active (Non-Exempt),,
STA-66UEFE-C-001,CONSERVATIVE LEADERSHIP COMMITTEE NC INC,Active (Non-Exempt),,
STA-V9K42R-C-001,FAIR JUDGES,Active (Non-Exempt),,
STA-RV2487-C-001,GIVE THE KIDS A CHANCE,Active (Non-Exempt),,
STA-269440-C-001,NC BUSINESS LEADERS FOR HEALTH IE PAC,Closed (Pending),,
STA-KV2H8R-C-001,SUPPORTERS OF NORTH CAROLINA'S SKILLED NURSING FACILITIES,Active (Non-Exempt),,
STA-52GWI2-C-001,WAKE CITIZENS FOR GOOD GOVERNMENT IE PAC,Active (Non-Exempt),,
STA-SRRZB1-C-001,CITIZENS UNITED FOR A STRONGER STANLY COUNTY,Active (Non-Exempt),,
STA-8M74W1-C-001,NC AGAINST THE BOND,Active (Non-Exempt),,
STA-MQD8CX-C-001,COMM TO ELECT CHRISTY WILHELM,Inactive,,
STA-3477OU-C-001,MATT VAN SICKLE COMMITTEE,Active (Non-Exempt),,
